cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
epid.32,epid,epidermis,48.0,named,1,1,1,low,0.4534,0.0244,in_set,,22,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt4;krt5;pfn1;postnb;s100a10b;sparc,epidermis,0,0.789,2
epid.33,epid,epidermis,14.0,abstain,1,,,,,0.064,in_set,weak_signal,25,25,0.08,0,,mixed/unresolved,,,,,,1
epid.34,epid,epidermis,104.0,named,1,1,1,low,0.4769,0.0733,in_set,,23,25,0.08,6,ZFA:0000105,epidermis,epidermis,anxa1a;aqp3a;capns1a;cfl1l;cldni;cotl1;cyt1;krt4;krt5;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.65,1
epid.35,epid,epidermis,108.0,abstain,1,,,,,0.0678,in_set,weak_signal,22,25,0.08,0,,mixed/unresolved,,,,,,2
epid.36,epid,epidermis,84.0,abstain,1,,,,,0.0074,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
epid.37,epid,epidermis,84.0,abstain,1,,,,,0.0569,in_set,weak_signal,22,25,0.12,0,,mixed/unresolved,,,,,,2
epid.38,epid,epidermis,24.0,abstain,1,,,,,0.0749,in_set,weak_signal,23,25,0.08,0,,mixed/unresolved,,,,,,1
epid.4,epid,epidermis,108.0,rollup,1,,,medium,0.6489,0.1321,in_set,,21,25,0.12,1,,ectoderm,ectoderm,,,,,2
epid.5,epid,epidermis,24.0,abstain,1,,,,,0.0483,in_set,weak_signal,23,25,0.12,0,,mixed/unresolved,,,,,,2
epid.6,epid,epidermis,48.0,abstain,1,,,,,0.0908,in_set,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,1
epid.7,epid,epidermis,14.0,abstain,1,,,,,0.0735,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
