zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0005428,optic foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005429,olfactory nerve foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005430,orbital foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005431,scapular foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005432,superficial ophthalmic nerve foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005433,mental barbel,T4,T4,1.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,
ZFA:0005434,tooth cusp,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005436,pectoral fin nerve,T4,T4,1.0,0,0,0,0.0,0,0,2,1,1,0,0,0,0,0,0,0,0,
ZFA:0005437,pectoral fin motor nerve,T4,T4,1.0,0,0,0,0.0,0,0,4,1,0,0,0,0,0,0,0,0,0,
ZFA:0005438,pectoral fin sensory nerve,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005439,pectoral fin motor nerve 1,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005440,pectoral fin motor nerve 2,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005441,pectoral fin motor nerve 3,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005442,articular fossa of opercle,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005443,sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,11,1,1,0,0,0,0,0,0,0,0,
