parent_id,parent_name,child_id,child_name,relation,support_parent,support_child,retained,child_unique_frac,sufficient,discernible,dead_step,naive_direct_jaccard
ZFA:0001477,portion of tissue,ZFA:0001200,corpuscles of Stannius,is_a,6996,32,0.0046,0.2812,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001256,lateral floor plate,is_a,6996,17,0.0024,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001257,medial floor plate,is_a,6996,16,0.0023,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001262,gonad primordium,is_a,6996,34,0.0049,0.2941,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001292,epiphyseal stalk,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001311,roof plate rhombomere region,is_a,6996,2,0.0003,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001317,endocardial cushion,is_a,6996,6,0.0009,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001318,cardiac jelly,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001320,endocardium,is_a,6996,54,0.0077,0.037,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001329,retinal inner plexiform layer,is_a,6996,65,0.0093,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001330,retinal outer plexiform layer,is_a,6996,58,0.0083,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001347,stratum fibrosum et griseum superficiale,is_a,6996,10,0.0014,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001348,stratum marginale,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001349,stratum opticum,is_a,6996,7,0.001,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001350,stratum griseum centrale,is_a,6996,4,0.0006,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001351,stratum album centrale,is_a,6996,8,0.0011,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001357,alar plate midbrain region,is_a,6996,403,0.0576,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001358,roof plate diencephalic region,is_a,6996,4,0.0006,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001374,atrial myocardium,is_a,6996,11,0.0016,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001378,axial hypoblast,is_a,6996,130,0.0186,0.0077,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001435,lateral wall neural tube,is_a,6996,2,0.0003,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001436,roof plate neural tube region,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001451,zone of polarizing activity pectoral fin bud,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001452,zone of polarizing activity pelvic fin bud,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001454,pelvic fin field,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001464,retinal outer nuclear layer,is_a,6996,205,0.0293,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001465,photoreceptor inner segment layer,is_a,6996,7,0.001,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001466,photoreceptor outer segment layer,is_a,6996,13,0.0019,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001469,lateral line,is_a,6996,169,0.0242,0.0533,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001486,epithelium,is_a,6996,1448,0.207,0.172,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001619,optic fiber layer,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001632,portion of connective tissue,is_a,6996,128,0.0183,0.2266,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001663,cranial nerve root,is_a,6996,6,0.0009,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001670,notochord posterior region,is_a,6996,34,0.0049,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001672,dorsolateral septum,is_a,6996,3,0.0004,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001679,solid lens vesicle,is_a,6996,444,0.0635,0.036,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001685,corneal stroma,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001688,corneal primordium,is_a,6996,3,0.0004,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001703,epidermal placode,is_a,6996,0,0.0,0.0,0,0,0,0.0
