zfa_id,name,tier,cell_identity,credited_genes,reach
ZFA:0009021,common myeloid progenitor,T1,1,19,via_develops_from
ZFA:0000561,parasphenoid,T1,0,19,via_develops_from
ZFA:0001414,occipital region,T1,0,19,unreachable
ZFA:0000270,maxilla,T1,0,18,via_develops_from
ZFA:0000476,branchiostegal ray,T1,0,18,via_develops_from
ZFA:0000732,somite 3,T1,0,18,via_develops_from
ZFA:0001081,thyroid primordium,T1,0,18,via_develops_from
ZFA:0009082,fat cell,T1,1,18,unreachable
ZFA:0009236,skeletal muscle myoblast,T1,1,18,unreachable
ZFA:0000414,presumptive cephalic mesoderm,T1,0,18,unreachable
ZFA:0000526,intermuscular bone,T1,0,17,via_develops_from
ZFA:0009026,fibroblast,T1,1,17,unreachable
ZFA:0009285,podocyte,T1,1,17,unreachable
ZFA:0001121,presumptive shield,T1,0,17,unreachable
ZFA:0005762,subcutaneous fat,T1,0,17,unreachable
ZFA:0007043,hindbrain neural tube,T1,0,17,unreachable
ZFA:0000072,somite 1,T1,0,16,via_develops_from
ZFA:0000191,dentary,T1,0,16,via_develops_from
ZFA:0001280,branchiostegal ray 3,T1,0,16,via_develops_from
ZFA:0001484,superficial blastomere,T1,1,16,unreachable
ZFA:0001218,presumptive floor plate,T1,0,16,unreachable
ZFA:0009249,melanoblast,T1,1,15,via_develops_from
ZFA:0000728,somite 2,T1,0,15,via_develops_from
ZFA:0001473,deep blastomere,T1,1,15,unreachable
ZFA:0009101,insulin secreting cell,T1,1,15,unreachable
ZFA:0000416,presumptive endoderm,T1,0,15,unreachable
ZFA:0007014,anterior presumptive neural plate,T1,0,15,unreachable
ZFA:0009015,erythroid progenitor cell,T1,1,14,via_develops_from
ZFA:0000102,dorsal fin fold,T1,0,14,unreachable
ZFA:0005463,oral ectoderm,T1,0,14,unreachable
ZFA:0005606,cranial vault,T1,0,14,unreachable
ZFA:0009251,granulocyte monocyte progenitor cell,T1,1,13,via_develops_from
ZFA:0000857,somite 4,T1,0,13,via_develops_from
ZFA:0009143,brush border epithelial cell,T1,1,13,unreachable
ZFA:0001209,presumptive rhombomere 7,T1,0,13,unreachable
ZFA:0005136,inner dental epithelium,T1,0,12,via_develops_from
ZFA:0009133,Sertoli cell,T1,1,12,unreachable
ZFA:0009137,ectodermal cell,T1,1,12,unreachable
ZFA:0009369,fast muscle myoblast,T1,1,12,unreachable
ZFA:0000309,external yolk syncytial layer,T1,0,12,unreachable
ZFA:0001718,presumptive atrium heart tube,T1,0,12,unreachable
ZFA:0000073,somite 5,T1,0,11,via_develops_from
