atlas,cluster_id,broad_gold,fine_gold,current_kind,current_bucket,current_correct,category,candidate_zfa,candidate_name,candidate_tier,candidate_support,candidate_depth,best_parent_support,clears_06_floor,fine_match
daniocell,glia.22,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.23,glia,glial,named,oligodendrocyte,1,covered,,,,0,-1,0,0,0
daniocell,glia.24,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.25,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.26,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.27,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.28,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.29,glia,glial,named,diencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.3,glia,glial,named,telencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.30,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.31,glia,glial,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.4,glia,glial,named,telencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.5,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.6,glia,glial,named,diencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.7,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.8,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.9,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.1,hema,hematopoietic,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.10,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.11,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.12,hema,hematopoietic,named,hematopoietic system,1,covered,,,,0,-1,0,0,0
daniocell,hema.13,hema,hematopoietic,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.14,hema,hematopoietic,named,blood,1,covered,,,,0,-1,0,0,0
daniocell,hema.15,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.16,hema,hematopoietic,named,hematopoietic system,1,covered,,,,0,-1,0,0,0
daniocell,hema.17,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.18,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.19,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.2,hema,hematopoietic,named,blood vessel,1,covered,,,,0,-1,0,0,0
daniocell,hema.20,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.21,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.22,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.23,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.24,hema,hematopoietic,named,dorsal aorta,1,covered,,,,0,-1,0,0,0
daniocell,hema.25,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.26,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.27,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.28,hema,hematopoietic,named,dorsal aorta,1,covered,,,,0,-1,0,0,0
daniocell,hema.29,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.3,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.30,hema,hematopoietic,named,posterior cardinal vein,1,covered,,,,0,-1,0,0,0
daniocell,hema.31,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.32,hema,hematopoietic,named,blood,1,covered,,,,0,-1,0,0,0
daniocell,hema.33,hema,hematopoietic,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.34,hema,hematopoietic,named,blood,1,covered,,,,0,-1,0,0,0
daniocell,hema.35,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.36,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.37,hema,hematopoietic,named,blood vasculature,1,covered,,,,0,-1,0,0,0
daniocell,hema.38,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.39,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.4,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,hema.40,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.5,hema,hematopoietic,named,blood,1,covered,,,,0,-1,0,0,0
daniocell,hema.6,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.7,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.8,hema,hematopoietic,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,hema.9,hema,hematopoietic,named,nucleate erythrocyte,1,covered,,,,0,-1,0,0,0
daniocell,iono.1,iono,ionocytes,named,epidermis,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.10,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.11,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.12,iono,ionocytes,fallback,ionocyte,1,covered,,,,0,-1,0,0,0
daniocell,iono.13,iono,ionocytes,named,NaK ionocyte,1,covered,,,,0,-1,0,0,0
daniocell,iono.14,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.15,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.16,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.17,iono,ionocytes,named,NaK ionocyte,1,covered,,,,0,-1,0,0,0
daniocell,iono.18,iono,ionocytes,named,epidermis,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.19,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.2,iono,ionocytes,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,iono.20,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.21,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.22,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.3,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.4,iono,ionocytes,abstain,mixed/unresolved,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.5,iono,ionocytes,rollup,ectoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,iono.6,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.7,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.8,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,iono.9,iono,ionocytes,rollup,ectoderm,0,resolution_bound,,,,0,-1,0,0,0
daniocell,mese.1,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.10,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.11,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.12,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.13,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.14,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.15,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,mese.16,mese,mesenchyme,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
